Total_Fare,Airways,Duration,Hopping,Taken_Day,Dept_Day,Days_To_Dept,Session,FlightGroup
5160.0,3,175,0,4,4,9,2,12
5259.0,4,170,0,4,4,9,1,18
5995.0,4,175,0,4,4,9,2,19
6628.0,2,285,0,4,4,9,0,6
6768.0,6,160,0,4,4,9,2,22
6768.0,6,160,0,4,4,9,2,22
6768.0,6,165,0,4,4,9,2,22
6887.0,2,170,0,4,4,9,0,6
6887.0,2,170,0,4,4,9,0,6
6887.0,2,175,0,4,4,9,2,8
6887.0,2,175,0,4,4,9,0,6
6978.0,6,160,0,4,4,9,1,21
6978.0,6,175,0,4,4,9,1,21
6995.0,4,485,0,4,4,9,0,17
7074.0,2,260,0,4,4,9,0,6
7171.0,0,165,0,4,4,9,2,2
7171.0,0,165,0,4,4,9,0,0
7171.0,0,165,0,4,4,9,1,1
7171.0,0,170,0,4,4,9,0,0
7281.0,3,175,0,4,4,9,2,12
7281.0,3,180,0,4,4,9,0,10
7523.0,4,400,0,4,4,9,2,19
7779.0,2,275,0,4,4,9,0,6
8407.0,2,285,0,4,4,9,3,9
8436.0,3,180,0,4,4,9,0,10
8464.0,2,275,1,4,4,9,0,6
9880.0,2,245,1,4,4,9,2,8
4530.0,3,165,0,4,0,10,3,13
4639.0,4,170,0,4,0,10,3,20
4644.0,2,165,0,4,0,10,1,7
4644.0,2,165,0,4,0,10,3,9
4644.0,2,165,0,4,0,10,3,9
4644.0,2,170,0,4,0,10,3,9
5160.0,3,165,0,4,0,10,2,12
5947.0,2,180,0,4,0,10,2,8
5995.0,4,175,0,4,0,10,2,19
6069.0,1,160,0,4,0,10,3,5
6126.0,3,175,0,4,0,10,2,12
6628.0,2,285,0,4,0,10,0,6
6768.0,6,160,0,4,0,10,2,22
6768.0,6,160,0,4,0,10,2,22
6768.0,6,165,0,4,0,10,2,22
6887.0,2,170,0,4,0,10,0,6
6887.0,2,170,0,4,0,10,0,6
6887.0,2,175,0,4,0,10,2,8
6887.0,2,175,0,4,0,10,1,7
6991.0,2,170,0,4,0,10,1,7
6991.0,2,170,0,4,0,10,1,7
6995.0,4,485,0,4,0,10,0,17
7090.0,1,165,0,4,0,10,1,4
7171.0,0,165,0,4,0,10,2,2
7171.0,0,170,0,4,0,10,0,0
7253.0,2,275,0,4,0,10,0,6
7281.0,3,175,0,4,0,10,2,12
7517.0,4,170,0,4,0,10,1,18
7806.0,3,155,0,4,0,10,1,11
7806.0,3,180,0,4,0,10,0,10
7855.0,4,400,0,4,0,10,2,19
7923.0,6,160,0,4,0,10,1,21
7923.0,6,175,0,4,0,10,1,21
8041.0,2,175,0,4,0,10,0,6
8464.0,2,275,0,4,0,10,0,6
8808.0,2,285,0,4,0,10,3,9
9061.0,0,165,0,4,0,10,0,0
10116.0,3,180,0,4,0,10,0,10
10583.0,0,165,0,4,0,10,1,1
3579.0,2,170,0,4,2,11,1,7
3784.0,1,165,0,4,2,11,1,4
3925.0,2,175,0,4,2,11,1,7
4318.0,2,170,0,4,2,11,1,7
4377.0,2,175,0,4,2,11,1,7
4696.0,2,245,0,4,2,11,2,8
4944.0,2,165,0,4,2,11,1,7
4944.0,2,165,0,4,2,11,3,9
4944.0,2,165,0,4,2,11,3,9
4944.0,2,170,0,4,2,11,3,9
5160.0,3,160,0,4,2,11,1,11
5259.0,4,170,0,4,2,11,3,20
5259.0,4,170,0,4,2,11,1,18
6126.0,3,165,0,4,2,11,3,13
6126.0,3,165,0,4,2,11,2,12
6126.0,3,175,0,4,2,11,2,12
6361.0,2,180,0,4,2,11,2,8
6768.0,6,160,0,4,2,11,2,22
6768.0,6,160,0,4,2,11,1,21
6768.0,6,175,0,4,2,11,1,21
6887.0,2,170,0,4,2,11,2,8
6887.0,2,170,0,4,2,11,0,6
6887.0,4,175,0,4,2,11,2,19
6887.0,2,175,0,4,2,11,0,6
6978.0,6,160,0,4,2,11,2,22
6978.0,6,165,0,4,2,11,2,22
6995.0,4,485,0,4,2,11,0,17
7171.0,0,165,0,4,2,11,3,3
7171.0,0,170,0,4,2,11,0,0
7253.0,2,275,0,4,2,11,0,6
7281.0,3,175,0,4,2,11,2,12
7281.0,3,180,0,4,2,11,0,10
7281.0,3,180,0,4,2,11,0,10
7779.0,2,275,0,4,2,11,0,6
7807.0,2,260,0,4,2,11,0,6
8011.0,0,165,0,4,2,11,1,1
8041.0,2,170,0,4,2,11,0,6
8117.0,4,400,0,4,2,11,2,19
9061.0,0,165,0,4,2,11,0,0
10583.0,0,165,0,4,2,11,2,2
13741.0,1,160,0,4,2,11,3,5
3784.0,1,160,0,4,3,12,3,5
3900.0,3,165,0,4,3,12,3,13
3925.0,2,170,0,4,3,12,1,7
4220.0,1,165,0,4,3,12,1,4
4377.0,2,165,0,4,3,12,1,7
4377.0,2,170,0,4,3,12,3,9
4639.0,4,170,0,4,3,12,3,20
4644.0,2,165,0,4,3,12,3,9
4644.0,2,165,0,4,3,12,3,9
4770.0,2,170,0,4,3,12,1,7
5160.0,3,165,0,4,3,12,2,12
5160.0,3,175,0,4,3,12,2,12
5554.0,2,175,0,4,3,12,1,7
5554.0,2,180,0,4,3,12,2,8
5606.0,2,245,0,4,3,12,2,8
5995.0,4,170,0,4,3,12,1,18
5995.0,4,175,0,4,3,12,2,19
6444.0,2,285,0,4,3,12,3,9
